ITEM_ID,TITLES
nm0000010,85639 | 39459 | 31148 | 29886 | 76465 | 32921 | 207185 | 100894 | 17966 | 43234 | 125736 | 26718 | 157343 | 82260 | 37698 | 33001 | 42659 | 36342 | 82257 | 37853 | 180427 | 40633 | 43597 | 46190 | 72613 | 19075 | 94182 | 114186 | 17687 | 46351 | 76464 | 3087 | 15794 | 207083 | 26699 | 13696 | 28432 | 84099 | 94811 | 178574 | 81396 | 111100 | 72638 | 75888 | 18200 | 76076 | 18262 | 52848 | 90406 | 51947 | 99345 | 430 | 25566 | 297668
nm0511798,85639 | 34233 | 176216 | 43042 | 87472 | 36331 | 45627 | 26776 | 179057 | 29967 | 225228 | 155208 | 71701 | 28497 | 52849 | 32929 | 164353 | 92937 | 331246 | 42710 | 2164 | 188588
nm0001135,85639 | 113225 | 197785 | 41214 | 382297 | 119252 | 242564 | 174624 | 26009 | 25430 | 126891 | 120600 | 108668 | 242382 | 205679 | 194481
nm0846887,20105
nm0846894,20105
nm1431224,20105
nm3002376,20105
nm0878035,53403 | 23310 | 46260
nm0329573,53403 | 53410 | 53412 | 136842 | 50775 | 53411 | 53414
nm0212664,53403
nm0260748,53403
nm0295600,53403
nm0267638,23310
nm0743285,23310
nm0079645,23310
nm0358697,23310
nm0001316,46260 | 82400 | 33810 | 50868 | 48816 | 48823 | 50916 | 61525 | 47508 | 82036 | 46026 | 81443 | 50859 | 50901 | 50922 | 50855 | 50861 | 48649 | 48734 | 50856 | 50862 | 50828 | 48822 | 48756 | 50830 | 44892 | 44775 | 50914 | 42299 | 58012 | 43128 | 25898 | 178452 | 43889 | 50912 | 25599 | 43841 | 82394 | 22999 | 111317 | 38890 | 61524 | 69017 | 71098 | 73737 | 58732 | 15266 | 50911
nm0491048,46260 | 82400 | 33810 | 50868 | 48816 | 48823 | 50916 | 61525 | 82036 | 46026 | 81443 | 50859 | 50901 | 50922 | 50855 | 50861 | 48649 | 48734 | 50856 | 50862 | 50828 | 48822 | 48756 | 50830 | 44892 | 44775 | 50914 | 42299 | 58012 | 43128 | 25898 | 178452 | 43889 | 50912 | 25599 | 43841 | 82394 | 22999 | 38890 | 61524 | 69017 | 71098 | 73737 | 58732
nm0278006,46260 | 50868 | 48649 | 25599
nm0092290,42140 | 144
